report_time,cured,death,confirmed,dose_1,dose_2,15_18_years_dose_1,15_18_years_dose_2,12_14_years_dose_1,12_14_years_dose_2,precaution_dose,total_doses,co,no2,o3,pm10,pm25,so2,close_nifty_50,close_nifty_500,close_nifty_healthcare,close_nifty_IT,close_nifty_pharma
2021-02-25,10738501,156705,11046914,10585459,1577250,0,0,0,0,0,12162709,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614,15097.35,12567.85,7239.13,24872.45,12141.7
2021-02-26,10750680,156825,11063491,10916095,1992070,0,0,0,0,0,1290798,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614,14529.15,12181.4,7135.57,24301.45,11927.9
2021-02-27,10763451,156938,11079979,11206945,240969,0,0,0,0,0,1361666,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614,14529.15,12181.4,7135.57,24301.45,11927.9
2021-02-28,10775169,157051,11096731,11206945,2409858,0,0,0,0,0,13616803,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614,14529.15,12181.4,7135.57,24301.45,11927.9
2021-03-02,10793969,157186,11119507,11541181,2546160,0,0,0,0,0,14087341,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614,14919.1,12519.4,7319.99,25301.85,12257.3
2021-03-03,10812044,157346,11139516,12104262,2663423,0,0,0,0,0,14767685,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614,15245.6,12764.8,7379.32,25772.65,12379.6
2021-03-04,10826075,157435,11156923,12849426,2824663,0,0,0,0,0,15674089,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614,15080.75,12688.85,7371.88,25631.85,12351.75
2021-03-05,10839894,157548,11173761,13824866,3155117,0,0,0,0,0,16979983,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614,14938.1,12539.0,7266.17,25229.6,12192.75
2021-03-06,10854128,157656,11192088,14945461,3446063,0,0,0,0,0,18391524,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614,14938.1,12539.0,7266.17,25229.6,12192.75
2021-03-07,10868520,157756,11210799,16052469,3697683,0,0,0,0,0,19750152,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614,14938.1,12539.0,7266.17,25229.6,12192.75
2021-03-08,10882798,157853,11229398,16106928,3704460,0,0,0,0,0,19811388,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614,14956.2,12558.95,7295.58,25347.95,12239.85
2021-03-09,10899394,157930,11244786,17775516,4004876,0,0,0,0,0,21780392,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614,15098.4,12617.2,7251.83,25582.35,12133.85
2021-03-10,10920046,158063,11262707,18796171,4299654,0,0,0,0,0,23095825,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614,15174.8,12691.35,7329.69,26010.1,12313.25
2021-03-11,10938146,158189,11285561,19798735,4580318,0,0,0,0,0,24379053,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614,15174.8,12691.35,7329.69,26010.1,12313.25
