"Date","Open","High","Low","Close"
"23 May 2023","12.57","13.08","12.32","12.61"
"22 May 2023","12.30","12.82","11.56","12.57"
"19 May 2023","12.80","12.82","11.69","12.30"
"18 May 2023","13.11","13.11","11.14","12.80"
"17 May 2023","13.29","13.58","11.90","13.11"
"16 May 2023","13.17","13.49","11.71","13.29"
"15 May 2023","12.85","13.62","12.54","13.17"
"12 May 2023","13.22","13.51","12.74","12.85"
"11 May 2023","13.08","13.74","12.82","13.22"
"10 May 2023","12.68","13.30","11.54","13.08"
"09 May 2023","12.64","12.82","11.66","12.68"
"08 May 2023","12.30","12.91","11.72","12.64"
"05 May 2023","11.73","12.38","11.53","12.30"
"04 May 2023","11.84","12.03","11.19","11.73"
"03 May 2023","11.90","12.25","11.13","11.84"
"02 May 2023","10.95","12.06","10.95","11.90"
"28 Apr 2023","11.43","11.54","10.79","10.95"
"27 Apr 2023","11.65","12.02","10.96","11.43"
"26 Apr 2023","11.52","11.90","11.30","11.65"
"25 Apr 2023","11.67","11.81","11.43","11.52"
"24 Apr 2023","11.63","12.21","11.58","11.67"
"21 Apr 2023","11.94","12.04","11.52","11.63"
"20 Apr 2023","12.15","12.40","11.58","11.94"
"19 Apr 2023","12.08","12.47","11.11","12.15"
"18 Apr 2023","12.27","12.53","11.86","12.08"
"17 Apr 2023","11.91","13.27","11.91","12.27"
"13 Apr 2023","12.27","12.51","11.84","11.91"
"12 Apr 2023","11.98","12.40","11.98","12.27"
"11 Apr 2023","12.27","12.27","11.67","11.98"
"10 Apr 2023","11.80","12.56","11.80","12.27"
"06 Apr 2023","12.41","12.57","11.65","11.80"
"05 Apr 2023","12.59","12.81","12.05","12.41"
"03 Apr 2023","12.94","13.49","12.47","12.59"
"31 Mar 2023","13.63","13.63","12.07","12.94"
"29 Mar 2023","15.10","15.10","13.32","13.63"
"28 Mar 2023","15.45","15.61","14.87","15.10"
"27 Mar 2023","15.24","16.09","15.10","15.45"
"24 Mar 2023","14.49","15.43","14.20","15.24"
"23 Mar 2023","14.81","15.06","13.90","14.49"
"22 Mar 2023","15.08","15.09","14.24","14.81"
"21 Mar 2023","16.01","16.04","14.08","15.08"
"20 Mar 2023","14.77","17.22","14.52","16.01"
"17 Mar 2023","16.22","16.22","14.60","14.77"
"16 Mar 2023","16.30","17.36","13.95","16.22"
"15 Mar 2023","16.22","16.51","14.52","16.30"
"14 Mar 2023","16.22","16.64","15.00","16.22"
"13 Mar 2023","13.41","16.43","13.41","16.22"
"10 Mar 2023","12.73","13.82","12.73","13.41"
"09 Mar 2023","12.45","12.84","11.78","12.73"
"08 Mar 2023","12.27","12.85","11.90","12.45"
"06 Mar 2023","12.18","12.47","11.84","12.27"
"03 Mar 2023","12.97","12.97","11.98","12.18"
"02 Mar 2023","13.00","13.55","11.10","12.97"
"01 Mar 2023","14.02","14.02","12.28","13.00"
"28 Feb 2023","13.88","14.57","13.50","14.02"
"27 Feb 2023","14.19","15.10","13.75","13.88"
"24 Feb 2023","15.08","15.14","14.01","14.19"
"23 Feb 2023","15.59","16.01","14.52","15.08"
"22 Feb 2023","14.01","15.92","12.38","15.59"
"30 Dec 2022","15557.75","15581.95","15425.65","15448.85"
"29 Dec 2022","15370.00","15517.45","15307.00","15485.20"
"28 Dec 2022","15390.55","15468.15","15363.65","15432.80"
"27 Dec 2022","15375.20","15433.65","15278.60","15418.35"
"26 Dec 2022","15060.85","15350.35","14985.40","15298.55"
"23 Dec 2022","15300.75","15349.35","15018.75","15046.00"
"22 Dec 2022","15599.55","15636.10","15369.60","15431.50"
"21 Dec 2022","15772.95","15812.05","15497.60","15527.55"
"20 Dec 2022","15704.05","15740.25","15580.80","15726.20"
"19 Dec 2022","15658.85","15764.00","15606.15","15755.20"
"16 Dec 2022","15710.90","15799.35","15625.25","15636.35"
"15 Dec 2022","15938.05","15968.20","15758.85","15783.80"
"14 Dec 2022","15958.15","15988.55","15946.30","15963.80"
"13 Dec 2022","15863.25","15913.80","15830.65","15904.50"
"12 Dec 2022","15759.65","15836.85","15687.95","15828.00"
"09 Dec 2022","15964.85","15967.30","15727.35","15812.75"
"08 Dec 2022","15881.80","15918.75","15860.30","15911.10"
"07 Dec 2022","15932.25","15953.25","15836.05","15862.00"
"06 Dec 2022","15904.10","15936.70","15881.60","15922.85"
"05 Dec 2022","15994.95","15999.80","15881.80","15967.20"
"02 Dec 2022","15977.50","15991.05","15909.60","15963.50"
"01 Dec 2022","16041.15","16041.65","15972.75","16003.95"
"30 Nov 2022","15827.45","15991.60","15820.55","15946.15"
"29 Nov 2022","15784.55","15859.35","15782.40","15812.45"
"28 Nov 2022","15683.75","15817.35","15642.80","15784.45"
"25 Nov 2022","15719.80","15743.10","15668.35","15727.25"
"24 Nov 2022","15588.45","15706.50","15567.75","15680.80"
"23 Nov 2022","15572.75","15572.90","15520.25","15538.15"
"22 Nov 2022","15472.65","15518.10","15437.30","15509.20"
"21 Nov 2022","15514.60","15523.15","15431.20","15453.80"
"18 Nov 2022","15634.30","15644.80","15472.35","15550.85"
"17 Nov 2022","15630.55","15661.10","15573.95","15597.25"
"16 Nov 2022","15696.55","15711.30","15607.25","15663.30"
"15 Nov 2022","15678.50","15708.90","15609.50","15693.90"
"14 Nov 2022","15672.50","15684.25","15627.75","15650.20"
"11 Nov 2022","15633.50","15662.05","15612.45","15649.10"
"10 Nov 2022","15490.25","15523.90","15384.35","15440.00"
"09 Nov 2022","15684.45","15686.35","15534.85","15567.25"
"07 Nov 2022","15610.95","15647.25","15505.75","15615.15"
"04 Nov 2022","15495.75","15542.15","15454.30","15530.85"
"03 Nov 2022","15407.80","15519.15","15401.30","15484.70"
"02 Nov 2022","15560.45","15561.1","15470.4","15497.55"
"01 Nov 2022","15507.95","15545.85","15460.7","15537.40"
"31 Oct 2022","15333.15","15433.05","15327.40","15424.00"
"28 Oct 2022","15265.45","15290.15","15191.60","15241.60"
"27 Oct 2022","15246.55","15273.30","15172.15","15244.25"
"25 Oct 2022","15251.75","15253.75","15143.45","15158.10"
"24 Oct 2022","15225.45","15248.05","15179.15","15198.75"
"21 Oct 2022","15159.60","15181.90","15036.10","15081.10"
"20 Oct 2022","14998.45","15128.40","14979.60","15112.10"
"19 Oct 2022","15120.40","15153.05","15039.80","15068.60"
"18 Oct 2022","15009.10","15071.95","15007.25","15056.55"
"17 Oct 2022","14783.20","14920.70","14718.80","14906.15"
"14 Oct 2022","14979.15","14989.15","14803.70","14815.10"
"13 Oct 2022","14811.20","14832.35","14683.55","14730.30"
"12 Oct 2022","14761.45","14844.85","14676.55","14829.95"
"11 Oct 2022","14980.45","14982.75","14692.55","14721.90"
"10 Oct 2022","14857.00","14989.05","14818.50","14951.65"
"07 Oct 2022","15030.20","15055.65","14943.15","15036.70"
"06 Oct 2022","15063.55","15119.90","15042.20","15053.05"
"04 Oct 2022","14869.55","14975.60","14852.55","14965.80"
"03 Oct 2022","14837.1","14858.65","14585.8","14638.50"
"30 Sep 2022","14586.9","14881.3","14516.3","14829.35"
"29 Sep 2022","14748.20","14783.75","14569.10","14602.50"
"28 Sep 2022","14617.40","14768.25","14577.05","14620.60"
"27 Sep 2022","14805.85","14874.45","14652.3","14727.30"
"26 Sep 2022","14916.9","14932.5","14671.05","14725.70"
"23 Sep 2022","15324.30","15360.20","15032.75","15057.65"
"22 Sep 2022","15284.60","15386.75","15224.95","15335.30"
"21 Sep 2022","15449.25","15516.50","15320.05","15361.25"
"20 Sep 2022","15423.50","15557.30","15410.25","15470.35"
"19 Sep 2022","15264.25","15348.80","15135.15","15293.55"
"16 Sep 2022","15529.35","15542.00","15197.90","15243.95"
"15 Sep 2022","15686.00","15724.45","15543.90","15580.35"
"14 Sep 2022","15423.90","15688.10","15423.90","15630.70"
"13 Sep 2022","15667.35","15686.85","15635.15","15669.85"
"12 Sep 2022","15524.70","15600.15","15522.40","15577.40"
"09 Sep 2022","15547.55","15548.85","15426.40","15467.40"
"08 Sep 2022","15430.20","15448.75","15365.70","15440.70"
"07 Sep 2022","15222.25","15334.00","15199.40","15319.40"
"06 Sep 2022","15339.30","15386.75","15248.00","15313.05"
"05 Sep 2022","15221.75","15311.95","15217.35","15294.40"
"02 Sep 2022","15272.45","15305.00","15184.30","15201.60"
"01 Sep 2022","15142.70","15309.85","15141.45","15211.20"
"30 Aug 2022","15071.45","15338.80","15065.35","15325.05"
"29 Aug 2022","14797.80","15016.25","14793.95","14972.75"
"26 Aug 2022","15187.10","15242.65","15116.20","15147.55"
"25 Aug 2022","15208.85","15252.80","15075.10","15100.65"
"24 Aug 2022","15062.45","15152.45","15037.15","15140.40"
"23 Aug 2022","14887.00","15128.25","14879.90","15090.50"
"22 Aug 2022","15183.10","15186.15","14980.40","15001.75"
"19 Aug 2022","15426.20","15445.50","15205.55","15236.65"
"18 Aug 2022","15355.60","15415.25","15325.20","15404.60"
"17 Aug 2022","15325.35","15398.45","15306.55","15379.05"
"16 Aug 2022","15222.90","15287.45","15203.50","15280.50"
"12 Aug 2022","15102.80","15162.30","15060.75","15140.55"
"11 Aug 2022","15123.65","15130.05","15069.90","15095.15"
"10 Aug 2022","15033.30","15033.30","14919.20","14985.80"
"08 Aug 2022","14910.60","15009.90","14867.20","14993.35"
"05 Aug 2022","14933.20","14972.10","14874.25","14900.40"
"04 Aug 2022","14944.95","14974.70","14688.00","14892.45"
"03 Aug 2022","14880.65","14906.70","14750.75","14878.05"
"02 Aug 2022","14831.90","14906.00","14765.30","14876.60"
"01 Aug 2022","14741.40","14858.30","14666.20","14846.85"
"29 Jul 2022","14588.15","14677.75","14553.65","14665.65"
"28 Jul 2022","14365.05","14481.45","14330.30","14469.10"
"27 Jul 2022","14131.80","14272.20","14099.90","14262.55"
"26 Jul 2022","14284.70","14286.50","14122.55","14141.45"
"25 Jul 2022","14307.90","14335.10","14228.15","14279.50"
"22 Jul 2022","14325.05","14359.75","14265.25","14336.60"
"21 Jul 2022","14172.80","14288.60","14141.65","14271.80"
"20 Jul 2022","14220.20","14230.90","14140.00","14164.40"
"19 Jul 2022","13922.55","14067.75","13922.35","14051.65"
"18 Jul 2022","13883.80","13993.40","13877.60","13984.40"
"15 Jul 2022","13761.10","13804.05","13695.20","13790.20"
"14 Jul 2022","13771.20","13797.60","13617.15","13702.65"
"13 Jul 2022","13842.80","13861.30","13714.20","13726.95"
"12 Jul 2022","13823.60","13866.65","13757.30","13779.00"
"11 Jul 2022","13771.40","13905.95","13755.75","13886.85"
"08 Jul 2022","13873.75","13874.70","13770.90","13828.25"
"07 Jul 2022","13736.95","13777.75","13687.55","13765.60"
"06 Jul 2022","13472.80","13647.20","13443.35","13631.30"
"05 Jul 2022","13533.75","13628.45","13439.40","13461.85"
"04 Jul 2022","13378.40","13483.70","13337.20","13472.65"
"01 Jul 2022","13335.25","13422.45","13192.90","13394.45"
"30 Jun 2022","13410.80","13492.15","13352.40","13387.55"
"29 Jun 2022","13337.65","13462.05","13328.20","13417.85"
"28 Jun 2022","13389.85","13487.50","13330.75","13464.25"
"27 Jun 2022","13506.35","13510.80","13432.65","13444.55"
"24 Jun 2022","13269.20","13337.70","13247.95","13322.50"
"23 Jun 2022","13081.90","13231.90","13021.25","13178.80"
"22 Jun 2022","13176.10","13184.90","13028.35","13047.75"
"21 Jun 2022","13042.80","13275.50","13019.35","13241.90"
"20 Jun 2022","13026.15","13049.40","12855.55","12950.75"
"17 Jun 2022","13011.40","13111.95","12903.85","12994.75"
"16 Jun 2022","13508.70","13527.80","13064.05","13089.20"
"15 Jun 2022","13412.20","13448.45","13366.75","13380.85"
"14 Jun 2022","13341.95","13506.50","13324.15","13388.30"
"13 Jun 2022","13521.20","13527.75","13356.20","13416.90"
"10 Jun 2022","13825.00","13860.05","13757.95","13781.75"
"09 Jun 2022","13816.70","13989.00","13790.00","13977.10"
"08 Jun 2022","13981.65","14020.45","13832.45","13886.90"
"07 Jun 2022","13978.65","13990.20","13883.75","13935.60"
"06 Jun 2022","14042.40","14081.20","13932.15","14054.10"
"03 Jun 2022","14280.35","14300.00","14064.90","14077.90"
"02 Jun 2022","14059.25","14179.30","14029.80","14167.95"
"01 Jun 2022","14132.10","14186.90","14009.05","14082.90"
"31 May 2022","14106.00","14215.45","14067.05","14119.60"
